#separator:tab
#html:false
贝尔征	面神经炎，闭眼时，患侧眼球外上方运动，露出白色巩膜
帕金森病临床表现	多60岁后发病，男性多于女性（宝茹爷爷），隐匿起病，缓慢进展  运动症状： 1、静止性震颤：首发症状，多始于一侧上肢远端，静止位时出现或明显，随意运动时减轻或停止，紧张激动时加剧，入睡消失 2、肌强直：铅管样强直和齿轮样强直，颈部躯干四肢肌强直使患者出现特殊的屈曲体姿 3、运动迟缓：随意运动减少，动作缓慢笨拙，早期手指精细运动缓慢，后期全面性随意运动减少，可出现面具脸和写小字征 4、姿势步态障碍：走路时患侧上肢摆动幅度减小或消失，下肢拖拽，可出现冻结现象和慌张步态 非运动症状： 1、感觉障碍：嗅觉减退、睡眠障碍、肢体麻木疼痛 2、自主神经功能障碍：便秘、多汗、溢脂性皮炎 3、精神认知障碍：抑郁焦虑
帕金森的治疗原则和常用治疗药物	治疗原则： 1、综合治疗原则：药物治疗首选，手术治疗为补充手段 2、用药原则：早诊断早治疗；“剂量滴定”实现“尽可能以最小剂量达到满意临床效果” 3、个体化治疗 常用药物： 1、抗胆碱能药：苯海索 震颤明显且年轻，老年慎用、闭角型青光眼及前列腺肥大者禁用 2、复方左旋多巴：最有效、最基本药物    对强直、少动、震颤均有效 3、金刚烷胺：促进多巴胺释放    对少动、强直、震颤有改善作用 4、MAO-B抑制药：司来吉兰    阻止多巴胺在脑内降解，常与左旋多巴合用 5、COMT抑制药：恩他卡朋    抑制左旋多巴在外周代谢，增加其进脑量 6、多巴胺受体激动剂：麦角类溴隐亭、非麦角类普拉克索     早发型患者
全面-强直阵挛发作的临床表现	早期意识丧失，双侧强直后出现阵挛 1、强直期：全身骨骼肌持续性收缩，可有眼球上翻或凝视，咬伤舌尖，呼吸停止，颈和躯干先屈曲后反张，上肢由上举后旋转为内收旋前，下肢先屈曲后猛烈伸直，持续10-20s后进入阵挛期 2、阵挛期：肌肉交替性收缩与松弛，表现为交替性抽动，频率越来越慢，松弛时间越来越长；在一次剧烈阵挛后进入发作后期 3、发作后期：全身肌肉松弛，括约肌松弛，尿失禁；呼吸恢复、瞳孔血压心率逐渐正常，肌张力松弛、意识恢复、醒后常头痛、全身酸痛、嗜睡
癫痫药物治疗的原则	药物治疗的最终目的： 控制发作或最大限度地减少发作次数 使患者保持或恢复其原有的生理、心理和社会功能状态  长期治疗无明显不良反应   用药原则：1、确定是否用药（首次发作或间隔半年以上发作一次的患者，告知相关情况下可不用药） 2、正确选择药物    3、尽可能单药治疗（小剂量缓慢增大到能最大限度地控制癫痫发作而无不良反应或不良反应很轻，即为最低有效剂量）  4、合理的联合治疗 5、药物的用法（取决于药物代谢特点、作用原理及不良反应出现规律等） 6、严密观察不良反应（用药前后监测血尿常规、肝肾功能） 7、增减药物、停药（缓慢减量的过程，不少于1-1.5年无发作者方可停药）、换药（5-7天过渡期）
癫痫持续状态的治疗	治疗目的： 保持稳定的生命体征和进行心肺功能支持 终止呈持续状态的癫痫发作，减少癫痫发作期脑部神经损害 尽可能寻找并根除病因诱因，处理并发症 一般治疗： 1、对症处理：保持呼吸道通畅、心电血压脑电监测，定期血气分析、生化检查，查找诱因并治疗，牙关紧闭者应放置牙套 2、建立静脉通道 3、积极防治并发症：脑水肿、抗生素、代谢紊乱、营养支持 药物治疗： 1、首选地西泮10～20mg静注，每分钟不超过2mg 2、如有效，将60～100mg地西泮溶于5%葡萄糖生理盐水中，12h内缓慢静注 3、发作控制后，用苯巴比妥0.1～0.2g肌注，每日2次，巩固和维持疗效；同时鼻饲抗癫痫药，达稳态浓度后逐渐停用苯巴比妥 难治性癫痫持续状态： 成人异戊巴比妥0.25～0.5g稀释后缓慢静注，同时气管插管机械通气维持呼吸
癫痫	多种原因导致脑神经高度同步化异常放电 发作性、短暂性、重复性、刻板反应
癫痫综合征	癫痫发展中，一组具有相似症状和体征特性所组成的特定癫痫现象
痫性发作	异常放电位置不同➕放电范围不同 导致患者发作形式不一 感觉、运动、意识等功能障碍或兼有之 临床上每次发作或每种发作的过程称为痫性发作
部分性发作	源于大脑半球局部神经元异常放电，有三类 单纯部分性：局限性发放➕无意识障碍 复杂部分性、部分性继发全面性：从局部扩散到双侧脑部➕有意识障碍
全面强直-阵挛发作	癫痫全面发作的一种类型，特点为意识丧失、双侧强直后出现阵挛 强直期、阵挛期、发作后期
自动症	癫痫发作过程中或发作后，在意识模糊状态下出现的具有一定协调性、适应性的无意识活动
癫痫持续状态	传统：癫痫发作之间意识尚未完全恢复有频繁再发，或癫痫发作＞30min未自行停止 现在：对于GTCS患者（全面强直-阵挛发作）发作持续＞5min就该考虑癫痫持续状态，并须用AEDs紧急处理
急性脊髓炎	各种感染引起自身免疫反应所导致的急性脊髓横贯性脊髓炎性病变，以病损平面下肢体瘫痪、传导束性感觉障碍和尿便障碍为特征
急性脊髓炎临床表现	流行病学：见于任何年龄、以青壮年多见，男女发病无明显差异 病史：发病前1-2w常有上感史、消化道感染症状、预防接种史 运动障碍：急性起病、迅速发展，早期为脊髓休克期（肢体瘫痪、肌张力减低、腱反射消失，病理反射阴性），2-4周进入恢复期（肌张力腱反射逐渐增高，出现病理反射，肢体的恢复常始于下肢远端，然后逐渐上移） 感觉障碍：病变以下所有感觉丧失，以上可有感觉过敏 自主神经功能障碍：早期表现为尿潴留，呈无张力性神经源性膀胱，可见充盈性尿失禁；后期可见反射性神经源性膀胱，充溢性尿失禁
急性脊髓炎治疗	早诊断早治疗、精心护理早期康复一般治疗：加强护理，防治各种并发症 1、高颈段脊髓炎有呼吸困难立即吸氧，保持呼吸道通畅，抗生素，气管切开人工辅助呼吸 2、无菌导尿管 3、保持皮肤清洁、按时翻身拍背吸痰、防止压疮  药物治疗： 大量甲泼尼龙、大量免疫球蛋白、维生素B、抗生素 康复治疗： 早期瘫痪肢体保持功能位，局部按摩
神经-肌肉接头病变的机制	突触前膜：Ach合成和释放障碍 突触间隙：乙酰胆碱酯酶含量/活性异常 突触后膜：AchR病变
MG	重症肌无力是一种获得性免疫引起的神经-肌肉接头突触后膜上AChR受损引起 表现为部分或全身骨骼肌无力和极易疲劳 活动后症状加重，休息或胆碱酯酶抑制剂治疗后症状减轻
重症肌无力危象	指重症肌无力患者在某种因素作用下突然发生的呼吸困难甚至危及生命，需要紧急抢救
重症肌无力的临床表现	1、两个高峰：20-40岁发病者女性＞男性；40-60岁发病者男性＞女性 2、病程特点：缓慢或亚急性起病，也有因受凉、劳累后病情突然加重。病情波动，缓解与复发交替，晚期患者休息后不能完全恢复   3、受累部位分部：全身，以脑神经支配的肌肉最先受累，首发症状常为一侧/双侧眼外肌无力。常以一组肌群开始，范围逐渐扩大  4、受累骨骼肌病态疲劳：连续收缩后出现严重肌无力甚至瘫痪，休息后症状减轻  5、重症肌无力危象：呼吸肌受累时出现咳嗽无力甚至呼吸困难，需要用呼吸机辅助通气，是致死的主要原因 6、胆碱酯酶抑制剂治疗有效
重症肌无力的临床分型	成年型： ｜型（眼肌型）：病变仅局限于眼外肌，上睑下垂和复视 ｜｜A型（轻度全身型）：累及眼、面、四肢肌，生活能自理，无明显咽喉肌受累 ｜｜B型（中度全身型）：眼外肌麻痹，明显四肢肌受累，有明显的咽喉肌无力（说话含糊不清、吞咽困难、饮水呛咳），无呼吸肌受累 ｜｜｜型（急性重症型）：急性起病数周内累计延髓肌、肢带肌、躯干肌和呼吸肌，有重症肌无力危象，需气管切开，死亡率高 V｜型（迟发重症型）：病程两年以上，由｜、｜｜A、｜｜B发展来，症状同｜｜｜型，常合并胸腺瘤，预后差 V型（肌萎缩型）：少数肌无力伴肌萎缩  儿童型： 新生儿型：10%的MG孕妇可将AChR抗体IgG经胎盘传给胎儿，患儿出生后哭声低、吸吮无力、肌张力低、动作减少，经治疗多在1w-3m缓解 先天性肌无力综合征：出生后短期内出现持续的眼外肌麻痹，常有阳性家族史，但母亲未患MG  青少年型：   多在10岁后发病，多为单纯眼外肌麻痹，部分伴吞咽困难和四肢无力
重症肌无力与Lambert-Eaton肌无力综合征鉴别	性别：女/男  伴发疾病：其他自身免疫病/癌肿  病变部位和性质：突触后膜AChR受体/突触前膜电压依赖钙离子通道  临床特点：全身型骨骼肌波动性无力，晨轻暮重/四肢肌无力，脑神经支配肌不受累或轻  血清AChR抗体水平：升高/不升高  疲劳试验（Jolly试验）：阳性/短暂用力收缩肌力增强，持续收缩又呈疲劳  腾喜龙试验：阳性/可以阳性，但不明显  重复电刺激：低、高频波幅均下降，低频更明显/低频波幅下降、高频波幅上升
重症肌无力危象的分类	1、肌无力危象 最常见、多由于抗胆碱酯酶药不足 加用  2、胆碱能危象 少见、抗胆碱酯酶药过量。 肌无力加重，出现明显的胆碱酯酶抑制剂的不良反应如肌束颤动和毒蕈碱样反应 可用阿托品拮抗 3、反拗危象 对抗胆碱酯酶药不敏感而出现的严重呼吸困难，腾喜龙试验无反应 此时应停用抗胆碱酯酶药，气管插管或气管切开患者应大剂量类固醇激素，运动终板功能恢复后再重新调整抗胆碱酯酶药物剂量
重症肌无力危象的处理原则	1、均应确保呼吸道通畅，早期病情无好转则应尽快气管插管或气管切开，应用人工呼吸器辅助呼吸 2、停用抗胆碱酯酶药 3、选用有效、足量、对神经-肌肉接头无阻滞作用的抗生素控制肺部感染 4、给予GC、丙种球蛋白 5、必要时血浆置换
闭锁综合征	病变位于脑桥基底部，皮质脑干束和皮质脊髓束都受累，患者意识清醒，但仅能以瞬目和眼球上下垂直运动示意
Broca失语	运动性失语 病变位于优势半球额下回后部，临床表现以口语表达障碍最突出，只能讲一讲个简单词，口语理解能力保留
Wernick失语	感觉性失语 病变位于优势半球颞上回后部，临床表现以口语理解障碍为主，听觉正常但不能听懂别人或自己说话，语言表达流利但混乱、难以理解、答非所问
三偏综合征	完全性内囊损伤 病灶对侧偏瘫、偏身感觉障碍、偏盲
Horner综合征	C8-T1脊髓侧面病变 表现为眼裂缩小、眼球轻微内陷、瞳孔缩小或伴同侧面部无汗/少汗
脊髓前动脉综合征	支配脊髓前2/3的动脉闭塞，病变以下上运动神经元性瘫、分离性感觉障碍、膀胱直肠功能障碍
脊髓后动脉综合征	支配脊髓后1/3的动脉闭塞，表现为病变水平以下深感觉障碍、痛温觉正常、肌力正常、括约肌功能不受累
核性眼肌麻痹	脑干病变致眼球运动神经核损害所引起的眼球运动障碍，表现为双侧眼球运动障碍、脑内邻近结构损害及分离性眼肌麻痹
核间性眼肌麻痹	病变主要损害脑干内侧纵束，表现为前核间性眼肌麻痹（不能内收、能外展）、后核间性眼肌麻痹（能内收、不能外展）、一个半综合征
一个半综合征	一侧脑桥被盖部分病变，引起脑桥侧视中枢和对侧已交叉过来的联络同侧动眼神经内直肌核的内侧纵束同时受累，表现为患侧眼球水平注视时不能内收也不能外展，对侧眼球水平注视时可有内收但无外展，有水平震颤
周围性眩晕和中枢性眩晕的鉴别	
上运动神经元瘫痪和下运动神经元瘫痪的比较	瘫痪分布：整个肢体为主……………肌群为主 肌张力：增高，痉挛性瘫痪……………降低，弛缓性瘫痪 浅反射：消失……………消失 腱反射：增强……………减弱或消失 病理反射：阳性……………阴性 肌萎缩：无/轻度失用性萎缩……………明显 皮肤营养障碍：多数无障碍……………常有 肌束颤动：无……………可有 肌电图：神经传导速度正常，无失神经电位……………异常，有
痫性发作与晕厥鉴别	发作时间：白天或夜间均可，睡眠时较多……………白天较多 先兆：无/短……………较长 与体位关系：无关……………通常在站立时 皮肤颜色：青紫/正常……………苍白 肢体抽搐：常见……………无 伴有尿失禁/舌咬伤：常见……………无 发作后头痛/意识模糊：常见……………无 神经系统定位体征：可有……………无 心血管系统：无……………常有 发作间期脑电图：异常……………正常
周围性面神经瘫痪和中枢性面神经瘫痪	常见病因：面神经炎……………脑血管疾病/脑部肿瘤 程度：重……………轻 恢复速度：慢……………快 临床表现： 1、面部表情肌瘫痪使表情动作丧失 2、病灶对侧下部表情肌瘫痪（鼻唇沟变浅、口角下垂），额支因为受双侧中枢控制，故上部表情肌正常（皱额、皱眉、闭眼无障碍）；对侧面部随意运动丧失，但哭、笑等动作仍保存；常有对侧偏瘫和中枢性舌下神经瘫
真性延髓麻痹和假性延髓麻痹	病变部位：一侧/两侧舌咽、迷走神经……………双侧皮质脑干束 双锥体束征：无……………常有  下颌反射：消失……………亢进 咽反射：消失……………存在 舌肌萎缩：可有……………无 强哭强笑：无……………常有
重症肌无力的治疗	一般治疗：保持呼吸道通畅，营养支持，对症治疗 药物治疗： 1、胆碱酯酶抑制剂 2、GC、免疫球蛋白 3、免疫抑制剂 血浆置换
