#separator:tab
#html:false
诊断学概念	诊断学是研究诊断疾病的基本理论、基本技能和临床思维方法的课程。
胸痛的性质	带状疱疹呈阵发性的灼痛或刺痛。肌痛常呈酸痛。骨痛呈刺痛。食管炎常呈灼痛或灼热感。心绞痛常呈压榨样痛，可伴有窒息感。急性心肌梗死疼痛更为剧烈，并有恐惧、濒死感。主动脉夹层动脉瘤常呈突发性胸背部撕裂样痛。干性胸膜炎常呈尖锐刺痛或撕裂痛，呼吸时加重，屏气时消失。肺梗死为突然剧烈刺痛或绞痛，常伴有呼吸困难与发绀。原发性肺癌、纵隔肿瘤可有胸部闷痛。
心绞痛、心肌梗死  部位：  性质：  持续时间：  影响因素：	部位：胸骨后或心前区，可牵涉至左肩、左臂内侧 性质：压榨样伴窒息感，心肌梗死时更剧烈 持续时间：心绞痛短暂（<15分钟）,心肌梗死时较长（数小时或数日） 影响因素：心绞痛诱因明显，含硝酸甘油可以缓解，心肌梗死诱因不明显，含硝酸甘油不能缓解。
腹痛	多数由腹部器官的疾病引起，但腹腔外及全身性疾病也可引起。病变的性质有器质性和功能性之分
“急腹症”	急性腹痛发病急，病情重，变化快，内科、外科、妇产科与儿科疾病均可引起急性腹痛，其中属外科范围者。一临床上习惯称之为“急腹症”。急腹是一类以急性腹痛为突出表现，需要早期诊断和紧急处理的腹部疾病，其特点为发病急，进展快，变化多，病情重，如延误诊断或治疗不当，将会给病人带来生命危险。
水肿：	人体组织间隙有过量的液体积聚，使组织肿胀，称为水肿。
水肿的分类	水肿按波及的范围可分为全身性水肿和局部性水肿。    按压水肿部位明显下陷，称为凹陷性水肿；水肿部位按压后无明显下陷，称为非凹陷性水肿。    是否具有对称性
呕血	是上消化道出血时，血液经口腔呕出。
黑便	血液经过肠道，血红蛋白中的铁和肠道硫化物结合成硫化铁而使粪便表现为黑色。
意识	指机体对自身状态和客观环境的识别和觉察能力，可通过言语及行动来表达，是人脑反映客观现实的最高形式。
意识障碍	指机体对自身状态和客观环境的识别和觉察能力出现障碍。可分为觉醒度下降和意识内容变化。
意识障碍——觉醒度下降	①嗜睡②昏睡③昏迷
意识障碍——意识内容改变	①意识模糊②谵妄
意识障碍——特殊类型	①去皮质综合征②无动性缄默症
主诉：	为患者感受最主要的痛苦或最明显的症状或（和）体征（一个或数个），也就是本次就诊最主要的原因及其持续时间。
现病史：	是病史中的主要部分，它记述患者患病后的全程，即发生、发展、演变和诊治经过，一般记录和主诉相关的问题，
现病史分为	①起病情况和患病时间②主要症状的特点③病因和诱因④病情的发展和演变⑤伴随症状⑥诊治过程⑦病程中的一般情况
视诊	是医师用视觉来观察患者全身或局部表现的诊断方法。
触诊	医师通过手接触被检查部位时的感觉来进行判断的一种体格检查方法。
叩诊	叩诊是用手叩击身体表面某部，使之振动而产生的音响，传导至其下组织器官，然后反射回来，为检查者的触觉和听觉所接收，检查者根据振动和声响的特点来判断被检查部位的脏器有无异常的体格检查方法。
叩诊——清音	是一种频率为100~128H1z，振动持续时间较长的音响，为不甚一致的非乐音性叩诊音。清音是正常肺部的叩诊音，提示肺组织的弹性、含气量和致密度均正常。
叩诊——浊音	是一种音调较高、音响较弱、振动持续时间较短的非乐音性叩诊音。粤 板指所感到的振动比较弱。正常情况下，浊音由叩击被少量含气组织覆盖的实质脏器时产生，如叩击被肺的边缘所覆盖的心脏或肝脏部分，即心脏或肝脏的相对浊音区。病理状态下，肺组被； 织含气量减少（如肺炎），叩诊时可表现为浊音。
叩诊——实音	亦称重浊音或绝对浊音，是一种音调较浊音更高、音响更弱、振动时间更短的非乐音性叩诊音。生理情况下，见于即击不含气的实质脏器，如心脏、肝脏；病理状态下，见于大量胸腔积液或肺实变。
叩诊——鼓音	是一种和谐的乐音，如同击鼓声。与清音相比，音响更强，振动持围续时间也较长，在叩击含有大量气体的空腔器官时出现。正常情况下，见于左胸下部的胃泡区及腹部；病理情况下，见于肺空洞、气胸或气腹等。
叩诊——过清音	属于鼓音范畴的一种变音，介于鼓音与清音之间，音调较清音低，音响较清音强，为一种类乐音。过清音是一种病态叩诊音，正常成人不会出现。过清音的出现提示肺组织含气量增多、弹性减弱，临床常见于肺气肿。
听诊	是指医师直接用耳或用听诊器听取被检查者体内各部在运动时发出的 声音，来判断人体正常与否的一种检查方法。
嗅诊	是医师以嗅觉来判断发自患者的异常气味与疾病之间关系的一种检查方法。
一般检查	体温 脉搏 血压 呼吸
脉搏	是由心脏节律性地收缩和舒张，动脉内压力一升一降，引起血管壁相应地扩张与回缩而形成的。
血压	循环动脉血压简称血压（blood pressure，BP)。血压是血液在血管内流动时作用于血管壁的压力，它是推动血液在血管内流动的动力。
满月面容	面圆如满月，皮肤发红，常伴痤疮和小须。见于库欣综合征及长期应用肾上腺皮质激素的患者。
自动体位	患者活动自如，不受限制。见于轻病或疾病早期。
被动体位	患者不能随意调整或变换体位，需别人帮助才能改变体位。见于极度衰弱或意识丧失的患者。
强迫体位	患者为了减轻疾病所致的痛苦，被迫采取的某些特 殊体位。
强迫体位常见者有以下几种：	强迫仰卧位   强迫俯卧位  强迫侧卧位
强迫仰卧位	患者仰卧，双腿蜷曲，借以减轻腹部肌肉紧张。见于急性腹膜炎等。
强迫俯卧位	俯卧位可减轻脊背肌肉的紧张程度。常见于脊柱疾病。
强迫侧卧位	患者侧卧于患侧，以减轻疼痛，且有利于健侧代偿呼吸以减轻呼吸困难。见于一侧胸膜炎及大量胸腔积液。
扁桃体肿大	I度为扁桃体肿大但未超过咽腭弓；Ⅱ度肿大时扁桃体超过咽腭弓，但未达到咽后壁中线；Ⅲ度肿大时扁桃体达到或超过咽后壁中线。
心尖搏动	心尖处游离，圆钝，是左心室的重要组成部分，在左心室收缩时与左前胸壁接近。心尖搏动主要由于心室收缩时心尖部向前碰触前胸壁相应部位而形成的外向性动作。
心脏瓣膜有5个听诊区，分别是：	①二尖瓣区：位于心尖搏动最强处，又称心尖区；②肺动脉瓣区：位于胸骨左缘第2肋间；③主动脉瓣区：位于胸骨右缘第2肋间；④主动脉瓣第二听诊区：位于胸骨左缘第3肋间；⑤三尖瓣区：位于胸骨下端左缘，即胸骨左缘第4、5肋间处。
心率正常	60-100次
白细胞数高于（）称白细胞增多	9.5x10⁹/L
血型	通常意义上的血型是指红细胞膜上的特异性抗原的类型，是一种遗传性状，但从广义上说，血型是指血液各种成分抗原的遗传性状，包括白细胞、血小板及某些血浆蛋白等的抗原成分的差异，并由它们共同构成血型系统。
ABO血型系统就是根据（）来判断的。	红细胞膜上的抗原A、B
人类红细胞膜上的抗原有三种	即A抗原、B抗原和H抗原。
下列情况属于医院感染：	①无明确潜伏期的感染，规定入院48小时后发生的感染为医院感染；有明确潜伏期的感染，自入院时起超过平均潜伏期后发生的感染为医院感染。②本次感染直接与上次住院有关。③在原有感染基础上出现其他部位新的感染（除外脓毒血症迁徙灶）,或在原感染已知病原体基础上又分离出新的病原体（排除污染和原来的混合感染）的感染。④新生儿在分娩过程中和产后获得的感染。⑤由诊疗措施激活的潜在性感染，如疱疹病毒、结核杆菌等的感染。⑥医务人员在医院工作期间获得的感染。
下列情况不属于医院感染：	①皮肤黏膜开放性伤口只有细菌定植而无炎症表现。②由于创伤或非生物性因子刺激而产生的炎症表现。③新生儿经胎盘获得的感染。④患者原有的慢性感染在医院内急性发作。
下呼吸道感染	下呼吸道感染是最常见的临床类型。多发生在吞咽及咳嗽反射减弱、意识障碍、气管插管 弱患者的威胁较大。临床可出现发热、咳嗽、咯痰、胸痛等，X线检查可为阴性，下呼吸道痰液培养和药敏试验有助于诊断并找到有效药物。
尿路感染	尿路感染多见于有尿路器械操作史的患者，常由于保留导尿系统交叉污染而造成导管外上行性感染，以革兰阴性杆菌多见。尿液培养和药敏试验有助于诊断并找到有效药物。下列情况一般可诊断：①患者出现无症状菌尿，细菌培养阳性，细菌计数>10⁵/mL；②细菌培养阴性，但有发热及尿道综合征，尿沉渣白细胞>10/HP；③本有尿路感染，入院后细菌培养发现新的细菌。
手术切口感染	①外源性感染：更多见，如医务人员手指皮肤的接触传播；②内源性感染；如腹部手术、妇科手术等伤口感染的病原体常来源于自身正常菌群。分泌物培养和药敏试验有助于诊断并找到有效药物。
①血液感染	主要为菌血症，可由静脉内输液、血液透析等引起，也可由于外科手术、下呼吸道感染或皮肤感染导致，血液培养可以诊断。
②静脉插管及针刺部位感染：	局部可见化脓性改变，分泌物培养有助于诊断。
③胃肠道感染：	主要见于使用抗生素所致的肠炎。
神经系统	要包括大脑、脑干、小脑脊髓及周围神经等。神经系统检查包括脑神经、感觉神经、运动神经和自主神经检查等。
浅感觉	浅感觉是指皮肤黏膜的触觉、痛觉和温度觉。
触觉	用棉絮或软纸条清扫被检查者肌肤，让其回答有无轻痒的感觉。
痛觉	用针尖轻刺被检查者皮肤，让其回答有无疼痛的感觉。
脑膜刺激征	是指脑膜病变或其附近病变波及脑膜时刺激脊神经根，使相应的肌群痉挛，当牵扯到这些肌肉时出现防御反应的现象，称为脑膜刺激征。
肌力分为0~5级。	0级：完全瘫痪，肌力完全丧失。1级：仅见肌肉收缩，但无肢体运动。2级：肢体可做水平移动，但不能抬离床面。3级：肢体能抬离床面，但不能克服阻力。4级；能做克服阻力的运动，但正常偏弱。5级：正常肌力。
振动觉	将振动的音叉柄端置于被检查者的骨隆起处（如尺骨头、桡骨茎突、内踝或外踝等），询问有无振动感，并注意两侧对比。
位置觉：	将被检查者的肢体放在某种位置或摆成某一姿势，让其回答肢体所处的位置或姿势，也可用对侧肢体模仿。
温度觉	用盛冷水（5℃~10℃）或热水（40℃~50℃）的试管分别接触被检查者皮肤，让其辨别冷热。
深感觉	是指肌腱、关节等运动器官的运动觉、位置觉和振动觉。
运动觉：	检查者用手指夹持被检查者的手指或足趾，做向上或向下购屈伸动作，让其回答哪个手指或足趾被活动及活动的方向。
