#separator:tab
#html:false
少牙（对称性）常见位置	第三磨牙、上颌恒侧切牙；下颌第二前磨牙			
牙髓充血的临床表现	牙本质过敏,对冷热酸甜刺激敏感。 一过性疼痛,范围局限、无放射痛 刺激物去除后疼痛随即消失;无自发痛。			
牙髓充血的病理变化	牙髓血管扩张充血呈树枝状			
急性牙髓炎的病因	主要由牙髓充血发展而来;慢性牙髓炎的急性发作			
急性牙髓炎的临床表现	突发剧痛 自发性痛、阵发性痛,常夜间疼痛加重、疼痛不能明确定位、放射性痛,温度刺激可诱发或加重疼痛。 热痛冷缓解			
急性牙髓炎的病理变化	中性粒细胞浸润			
慢性闭锁性牙髓炎的临床表现	冷热刺激痛史 无刺激时疼痛仍持续 一般无明显自发痛 常表现为阵发性钝痛			
慢性溃疡性牙髓炎的临床表现	遇冷热刺激痛 食物嵌人入龋洞后剧痛 刺激除去后疼痛仍可持续一段时间 咬合不适或轻微咬合痛			
慢性闭锁性牙髓炎的病理变化	形成肉芽组织 髓腔壁局部可见修复性牙本质			
慢性溃疡性牙髓炎的病理变化	有较大穿髓孔			
慢性增生性牙髓炎的临床表现	多见于儿童和青少年 多见于乳磨牙或第一恒磨牙 牙髓息肉 无明显自发痛 增生的牙髓呈暗红色或粉红色			
慢性增生性牙髓炎的病理变化	溃疡型：暗红色探诊易出血 上皮型：粉红色探之不易出血			
残髓炎	发生在残留于根管内的牙髓组织的炎症。 干髓术后数月甚至数年、活髓切断术失败、塑化治疗塑化不全或多根牙遗漏根管。			
根尖周炎主要因素	细菌			
急性根尖周炎的临床表现	早期咬紧患牙时有所缓解 患牙有浮出感和早接触,咀嚼疼痛 自发性持续性、博动性痛 不受温度变化的影响,且能准确定位			
急性根尖周炎的病理变化	急性浆液性根尖炎周炎 急性牙槽脓肿 中性粒细胞围绕			
根尖周肉芽肿的临床特点	咀嚼乏力 根尖区牙周间隙增大 根尖区有界限清楚的圆形透射阴影			
根尖周肉芽肿的病理	泡沫细胞呈灶性分布 铁血黄素和胆固醇结晶 胆固醇晶体在制片过程中溶解呈梭形裂隙 纤维结缔组织包绕			
根尖周肉芽肿的上皮来源	Malassez上皮剩余 口腔黏膜上皮或皮肤上皮 牙周袋壁 呼吸道上皮			
根尖周肉芽肿的变化	当机体抵抗力增强而病原刺激弱时,病变缩小;当机体抵抗力下降而病原刺激强时,病变范围增大 急性牙槽脓肿 根尖周囊肿 致密性骨炎			
上皮性根尖周肉芽肿转变根尖周囊肿途径	中心部分液化坏死,渗透压增高吸引周围组织液,进而发展成囊肿 增生的上皮被覆脓腔,当炎症缓解后转变成囊肿 被增生的上皮包裹的炎性肉芽组织也可以发生退变坏死形成囊肿			
慢性根尖周脓肿	根尖区周围呈现边界模糊的不规则透射影，呈雨雾状			
成牙本质细胞空泡变性	成牙本质细胞内或胞间液体积聚形成水泡 成牙本质细胞体积缩小,受压成堆,似稻草束 严重者细胞减少或消失,仅见空泡			
牙髓钙化	由于营养不良或组织变性,钙盐不断在上面沉积形成的弥散性或颗粒性钙盐沉积。分为弥散性钙化和髓石,			
牙髓网状萎缩	牙髓中出现大小不等的空泡样间隙,其中充满液体 牙髓细胞、成牙本质细胞、血管神经减少,似纤维网状			
牙髓纤维性变	细胞,血管、神经萎缩甚至消失,纤维成分增多 粗大的胶原纤维与牙髓长轴平行或呈现均质状红染的玻璃样变性,			
牙内吸收	从牙髓腔内壁开始向牙表面的吸收			
牙外吸收	从牙体表面开始的吸收过程			
急性根尖周炎排脓途径	脓液通过骨髓腔达骨外板并穿破骨密质达骨膜下形成骨膜下脓肿,最后穿破骨膜, 突破黏膜或皮肤排脓,突破口常靠近唇颊侧牙龈 经龋洞排脓 经牙周袋排脓			
成釉细胞瘤(ameloblastoma) 概述	约占牙源性肿瘤的60%以上 主要含成釉器样结构 无牙釉质或其他牙体硬组织形成 大多数肿瘤发生于颌骨内 虽属良性肿瘤,但其生长具有局部侵袭性(locally aggressive),术后复发率较高			
成釉细胞瘤(ameloblastoma)临床表现	平均年龄40岁，青壮年 下颌磨牙区和下颌升支部为最常见的发病部位 生长缓慢 无痛性、渐进性颌骨膨大 有乒乓球样感 X线可表现为单房或多房性透射影			
成釉细胞瘤(ameloblastoma)病理变化	1、肿瘤大小不一,可由小指头至小儿头般大 2、囊腔内含黄色或褐色液体。实性区呈白色或灰白色。可见包膜不完整，有时见肿瘤边缘可见骨小梁结构 3、上皮岛或条索由两类细胞成分构成 4、周边的立方或柱状细胞,核呈栅栏状排列并远离基底膜,类似于成釉细胞或前成釉细胞 5、中央的细胞排列疏松,呈多角形或星形,类似于星网状层细胞			
1.滤泡型(folicular patten)排列方式	肿瘤形成孤立性上皮岛			
1.滤泡型(folicular patten)上皮岛的中心细胞	上皮岛中心部由多边形或多角形细胞组成 这些细胞之间彼此疏松连接,类似于成釉器的星网状层			
1.滤泡型(folicular patten)上皮岛的周边细胞	围绕一层立方状或柱状细胞,类似于成釉细胞或前成釉细胞(preaneloblast), 细胞核呈栅栏状排列并远离基底膜,即极性倒置(reversed polarity)			
1.滤泡型(folicular patten)继发改变	上皮岛中央的星网状区常发生囊性变,形成小囊腔			
2.丛状型(plexiform patern)排列方式	肿瘤上皮增殖呈网状连结的上皮条索			
2.丛状型(plexiform patern)上皮岛的中心细胞	星网状层细胞			
2.丛状型(plexiform patern)上皮岛的周边细胞	是一层立方或柱状细胞			
2.丛状型(plexiform patern)继发改变	这型肿瘤发生囊性变是在肿瘤间质内			
3.棘皮瘤型(acanthomatous type)	肿瘤上皮岛内呈现广泛的鳞状化生,有时见角化珠形成			
4.颗粒细胞型(granular cel type)	颗粒细胞可部分或全部取代肿瘤的星网状细胞 颗粒细胞大，核小，染色深，偏于一侧，充满嗜酸性细胞			
5.基底细胞型(basal cel type)	肿瘤上皮密集成团或呈树枝状,细胞小而一致，胞质少			
6.角化成釉细胞瘤(keratoameloblastoma)	肿瘤内出现广泛角化 镜下肿瘤由多个充满角化物的微小囊肿构成,衬里上皮以不全角化为主,并伴有乳头状增生 因此又称为乳头状角化成釉细胞瘤(papilliferous keratoameloblastoma)			
(一)单囊型成釉细胞瘤	好发于下颌磨牙区 多见于青年人,年龄在10-29岁之间 表现单囊性颌骨改变 复发率较低			
(一)单囊型成釉细胞瘤分型	第I型：单纯囊性型 第Ⅱ型：伴囊腔内瘤结节增生型 第Ⅲ型：囊壁内浸润型			
(一)单囊型成釉细胞瘤第Ⅱ型：伴囊腔内瘤结节增生型	伴囊腔内瘤结节增殖 瘤结节多呈丛状型成釉细胞瘤的特点			
(一)单囊型成釉细胞瘤第Ⅲ型：囊壁内浸润型	肿瘤的纤维囊壁内有肿瘤浸润岛 在纤维囊壁内常常可见程度不一的上皮下玻璃样变或透明带			
(三)转移性成釉细胞瘤	约60% 的转移灶发生于肺部,其次为淋巴结(28%)和骨(12%)。			
牙源性钙化上皮瘤	CEOT 又称Pindborg瘤			
牙源性钙化上皮瘤（CEOT）临床表现	20-60岁均有发病,平均年龄为40岁左右 下颌比上颌多见(2:1) 最常见的部位是前磨牙和磨牙区 X线片表现为不规则透射区内含大小不等的阻射性团块			
牙源性钙化上皮瘤（CEOT）病理变化	切面呈灰白或灰黄色,实性 镜下见肿瘤由多边形上皮细胞组成,并常见清晰的细胞间桥 上皮细胞排列呈片状或岛状 有时见双核或多核。核多形性明显,但核分裂罕见 肿瘤组织内常见一种特征性圆形嗜酸性均质物质 钙化物呈同心圆沉积			
牙源性钙化上皮瘤（CEOT）生物学行为	生长具有局部浸润性 手术治疗后有复发的病例报告			
牙源性钙化上皮瘤（CEOT）组织学来源	埋伏牙的缩余釉上皮 成釉器的中间层细胞			
牙源性腺样瘤	AOT			
牙源性腺样瘤（AOT）	10-19岁。女性比男性多见 上颌比下颌多见 上颌单尖牙区为好发部位 X 线多表现为边界清楚的、单房性透射影,常围绕一个阻生牙的牙冠			
牙源性腺样瘤（AOT）病理变化	包膜完整 囊性部分大小不等,腔内含淡黄色胶冻状物质或血性液体 囊腔内表面可见小的白色突性隆起，有沙粒感			
结节状实性细胞巢	玫瑰花样结构 可见嗜酸性物质沉积			
基底层(stratum basale）	一层立方形或矮柱状细胞 电镜下基底细胞与结缔组织相连接处形成半桥粒 有增殖能力称为生发层(stratum gemina tivum)			
棘层(stratum spinosum)	由体积较大的多边形细胞组成 在上皮中是层次最多的细胞 胞质常伸出多而小的棘刺状突起与相邻的细胞相接,此突起称为细胞间桥 电镜下见细胞间桥的突起相接处为桥粒：1桥粒钙依赖性黏附蛋白2构成附着斑的蛋白 桥粒对于维持上皮的完整性有重要作用			
颗粒层(stratum granulosum)	一般由2-3层细胞组成 胞质内含嗜碱性透明角质颗粒 其表面为正角化时,此层明显;表面为不全角化时,此层可不明显			
角化层(stratum corneum)	细胞器及细胞核消失,苏木素-伊红染色为均质嗜酸性物。此种角化称正角化(orthokeratosis),如在硬腭 含有浓缩的未消失的细胞核,则称不全角化(parakeratosis),如在牙龈 此层细胞膜消失,取而代之的是由交联的蛋白质和脂类形成的角化包膜(comiied envelope) 角化包膜具有高度的抗溶解性,同时具有较强的柔韧性,能很好地保护深层的上皮细胞。			
非角质形成细胞	透明细胞			
黑色素细胞(melanocyte)	位于口腔黏膜上皮的基底层 由神经嵴细胞迁移而来 胞质有树枝状突起 胞质内含黑色素颗粒 牙龈、硬腭、颊和舌常见黑色素沉着			
朗格汉斯细胞(Langerhans cel)	也是一种有树枝状突起的细胞 主要位于棘层,也见于基底层,来自于造血组织。 此细胞与黏膜的免疫功能有关 作为一种抗原呈递细胞,可以激活T淋巴细胞			
梅克尔细胞(Merkel cell)	此细胞位于基底层 可能来自于神经嵴或上皮细胞 一般无树枝状突起 胞质内可见膜被小泡,内含神经递质 此种细胞是一种压力或触觉感受细胞			
上皮与结缔组织交界—基底膜区(basement membrane zone)	PAS染色阳性（过碘酸雪夫染色）			
网板(lamina reticularis)	两端埋人密板中。此纤维称锚纤维			
固有层	主要是成纤维细胞 固有层对上皮细胞的分化具有调控作用			
黏膜下层	为固有层提供营养及支持			
腺管样结构	胞核远离腔面 含有嗜酸性物质和细胞碎屑			
梁状或筛状结构	见于肿瘤的周边部或实性细胞巢之间 常常是1-2层的细胞条索形成筛状 有嗜伊红物质			
多边形、嗜酸性鳞状细胞组成的小结节	细胞间见有细胞间桥和钙化团块以及淀粉样物质沉着 牙源性钙化上皮瘤样区			
牙源性腺样瘤（AOT）生物学行为	包膜完整 不复发			
成釉细胞纤维瘤	牙源性上皮和间叶组织同时增殖			
成釉细胞纤维瘤临床表现	儿童和青年成人,平均年龄为15岁 最常见的部位是下颌磨牙区 肿瘤生长缓慢 颌骨膨大			
成釉细胞纤维瘤病理变化	上皮条索或团块的周边层为立方或柱状细胞 中心部细胞类似于星网状层 间质颇似牙胚的牙乳头细胞 在上皮与结缔组织之间的界面,有时为呈玻璃样变的透明带			
牙瘤	不是真性肿瘤			
(一)组合性牙瘤(compound odontoma)	患者年龄较小 好发于上颌切牙至尖牙区。 X线显示形态及数目不一的牙样物堆积在一起			
(二)混合性牙瘤(complex odontoma)	多发生于儿童和青年 下颌前磨牙区和磨牙区多见 可见放射阻射性结节状钙化物 而无典型的牙结构			
牙源性黏液瘤黏液纤维瘤临床特点	多发于20-39岁 常位于下颌前磨牙和磨牙区			
牙源性黏液瘤黏液纤维瘤病理变化	镜下见瘤细胞呈梭形或星形 瘤细胞间有大量淡蓝色黏液基质 有时见有少量散在的牙源性上皮剩余			
牙源性黏液瘤黏液纤维瘤生物学特点	浸润骨组织,甚至穿破骨皮质进入邻近软组织 术后易复发			
成牙骨质细胞瘤（真牙骨质瘤）临床特点	大部分病例的年龄在10-29岁 肿瘤多发生在前磨牙或磨牙区			
